question,reference_answer,generated_answer,bleu1,rougeL
What is the function of GFRAL?,"GFRAL (orphan receptor of the glial-derived neurotrophic factor (GDNF) receptor α family) is a high-affinity receptor for GDF15.
GFRAL expression is limited to hindbrain neurons and not present in peripheral tissues, which suggests that GDF15-GFRAL-mediated regulation of food intake is by a central mechanism.","GFRAL isGan-- the geneial-associated proteinrophic factor (GFR) is is-) is a highly-throughinity, α theFRNF.GFRAL is is mediated by thebrain and and is to in the neurons. but is that GFR15 ismediatedFRAL isα activation of G chain is essential a single mechanism of",0.45013542593145717,0.3076923076923077
Which molecules are inhibited by anticancer drug Dovitinib?,"Dovitinib (TKI-258/CHIR-258) is a pan receptor tyrosine kinase (RTK) inhibitor that targets VEGFR, FGFR, PDGFR, and KIT. It is being widely tested for treatment of various cancers.","Dovitinib isDNF)1)TIP1258) is a novel- antagonistrosine kinase inhibitorPK) inhibitor. is theEG-- aFR, FG-FR, PD PDEGR is used developed used in the of cancer types.",0.3609664964408216,0.2456140350877193
Which is the methyl donor of histone methyltransferases?,"The major methyl donor of histone methyltransferases (HMTs) is S-adenosyl-L–methionine (SAM, AdoMet).","The methyl hist donor of histone methyltransferases isMMTs) is theIRTmethylenosinetransfer1-Lethyline (S) SAMenosL),",0.6100943872002131,0.5714285714285715
Does nimotuzumab improve survival of glioblastoma patients?,Yes. Nimotuzumab improves survival of adult and pediatric patients diagnosed with glioblastoma and with other high-grade gliomas.,"No, Notuzumab improves survival of gl gl young gl with with glioblastoma. is advanced types-risk gliob.",0.42105263157894735,0.28571428571428575
How can the expression of SerH3 immobilization antigen be regulated?,The expression of Tetrahymena surface proteins serotype H3 (SerH3) is under temperature regulation. SerH3 is expressed when cells are incubated between the temperatures of 20 and 35 degrees C.,Ser expression of Ser-ydrosin- antigen (H 13 andSerH3) is regulated investigation control. SerH3 is a in the are exposedated in two two of the° 30 degrees Celsius.,0.3931539647367411,0.28070175438596495
What is SCENAR therapy used for?,"all patients experienced substantial relief of pain from the first treatment. an electronic biofeedback device (scenar) may be successfully utilized in the management of post-herpetic neuralgia. scenar) as effective in the treatment of neurogenic dysfunction of the bladder in children with nocturnal enuresis. post-herpetic neuralgia using a bioelectronical device (scenar). addition of scenar therapy to the complex conventional pharmacotherapy fastened ulcer healing, increased the effectiveness of helicobacter pylori eradication, and improved the condition of the gastroduodenal mucosa. scenar therapy to patients with localized suppurative peritonitis in the postoperative period. a new technique of low-frequency modulated electric current therapy, scenar therapy, was used in treatment of 103 patients with duodenal ulcer (du). ","SC- receiving a adverse from the and SC treatment treatment with SC bloodinback ( (SCENAR) is be used used for the treatment of patientsoperativeoperativeitetic arthritis tubeia.ary is is a as the treatment of postdeg neuro. the brain. patients. recurrent knownurnal orcephalures.herherpetic neuralgia is SC SCfeedronicically device (SCenar) of aar to to the treatment of treatmentological ofens tocerative is and the risk of theaselastiumylori inication, and improved the quality of the bladderricctermal cellosa.ar therapy is treat with chronic ulressiveative enitoneitis is the bladderher period is SC method, SC-dose,ulating cell stimulation ( ( SCar,, is developed to the of the patients with chronicodenal percerativeDod",0.3849475247364176,0.2935779816513761
Do honey contain diastases/amylases?,"Yes
honey contain the protein amylase.","Yes,Honey contains di di diylases A",0.12500000000000003,0.30769230769230765
Is overexpression of LY6K associated with better prognosis for non-small cell lung cancer patients?,"No, LY6K overexpression is associated with poor prognosis for patients with NSCLC.",Yes. overeY6K overexpression of associated with better prognosis for non with nonCLC.,0.5,0.5
Does Enzastaurin improve survival of glioblastoma patients?,No. Treatment with enzastaurin does not improve survival of glioblastoma patients.,"Yes, En with Enastaurin did not improve survival of glioblastoma patients.",0.6153846153846154,0.6363636363636364
Which is the main difference in the roles of Otx2 and Nanog during development?,Antagonism between the transcription factors NANOG and OTX2 specifies rostral or caudal cell fate during neural patterning transition . The transcription factor Otx2 acts as a negative switch in the regulation of transition from naive to primed pluripotency in mouse pluripotent stem cells . OTX2-mediated Nanog regulation contributes to the integrity of the ESC state and cell lineage specification in preimplantation development .,Oibistic is O O factors OANog and OX2 is thatsetral- cytustal activity division. development developmenting.. O factor Otx2 is as a co regulator between the development of the from the to active cellipotentency. the embryonicipot stem cells.X2 isN transcriptionog- is to the development of the cell and and to cycle.. mouseclinicalmunation cells.,0.3789842636851617,0.29824561403508765
Has Denosumab (Prolia) been approved by FDA?,"Yes, Denosumab was approved by the FDA in 2010.","Yes, Denosumab ( approved by the US in February.",0.7272727272727273,0.7058823529411765
What is latex bead phagocytosis?,"Macrophage scavenger function was assessed by an in vitro latex bead phagocytosis assay.
We developed a scanning cytometry-based high-throughput assay of macrophage phagocytosis that quantitates bound and internalized unopsonized latex beads.", latexrophage phging ph is demonstrated by the analysis vitro assay bead phagocytosis (.The show a method-os assaybased assay-throughput method that therophage scavenagocytosis in wasifies the chrom boundized macboundioic mac bead.,0.2725968471964718,0.21538461538461537
What are the outcomes of Renal sympathetic denervation?,"Significant decreases and progressively higher reductions of systolic and diastolic blood pressure were observed after RSD. The complication rate was minimal.
Renal sympathetic denervation also reduces heart rate, which is a surrogate marker of cardiovascular risk.",Renificant changes in decreases lower levels in thestolic and astolic activity pressure are observed in RenNE den Ren results of of significantly inTheal sympathetic denervation ( resulted the rate and blood is associated result for for heart disease.,0.3498868921003623,0.2191780821917808
List features of the Currarino triad.,"Currarino syndrome is a congenital malformation syndrome typically characterized by sacral agenesis, anorectal malformation, and presence of a pre-sacral mass.","Currarino tri is a rareital disorderform of characterized characterized by achar andenesis, and enlargedxiaal malformation, and a of a small-existingral ag.",0.5,0.4186046511627907
Does TFIIS affect nucleosome positioning?,"Transcript cleavage factor TFIIS reactivates the backtracked complexes and promotes pol II transcription through the nucleosome.  The same nucleosomes transcribed in the opposite orientation form a weaker, more diffuse barrier that is largely relieved by higher salt, TFIIS, or FACT","Yescriptioniveavage of (FIIS (ivates nucle nucle ofacked nucle of the nuclearity-. the activationosome. T effectosome areribed by T T direction are the nucle nucle more stable,, is located absent by the nucle content andFIIS, and theGF.",0.25,0.15789473684210525
A combination of which two drugs was tested in the IMbrave150 trial?,IMbrave150 trial tested a combination of atezolizumab and bevacizumab for advanced hepatocellular carcinoma.,IMbrave150 and tested the combination of IMrialolumumab and nzacilumab. the myaticcellular carcinoma.,0.5,0.48000000000000004
What do studies show about the effect of Induced hypothermia in premature babies?,"Randomised studies have demonstrated the efficacy of hypothermia for the treatment of perinatal hypoxic-ischaemic encephalopathy (HIE)  in reducing rate of death or neurodevelopmental disabilities in term or late preterm infants. It remains unclear to what degree preterm infants were included in these studies.
A prospective non-randomised pilot study reported that mild hypothermia for 48 hours in preterm neonates with severe NEC (necrotising enterocolitis) seems both feasible and safe.","Indised, have shown that effect of Indothermia in premature treatment of prematurecutatal hypother infantsinducedcheemic infantscephalopathy inPEM) in in premature the of hyp in hypdegal hyp in prematureites premature-term infants. is unclear if what extent theterm infants are induced in the studies.The study study-inised study study of that Ind hypothermia in premature- was prematureterm infantsatal was a hyp was1ologicalic hypicitis) was to safe and feasible.",0.3454295761255456,0.27737226277372257
What is CellMaps?,"CellMaps is an HTML5 open-source web tool that allows displaying, editing, exploring and analyzing biological networks as well as integrating metadata into them.","CellMaps is a open-- sourcesource, application for provides users cell annot, and, annot cell data in well as cellular biological from a.",0.3333333333333333,0.2608695652173913
Has the fungus Ashbya gossypii got many nuclei that share cytoplasm?,"Yes, Ashbya gossypii has a budding yeast-like genome but grows exclusively as multinucleated hyphae.","Yes, Ashbya gossypii has many large cy thatlike nucleus. it in in aiceucleotide cyposae.",0.35294117647058826,0.2758620689655172
Is proton beam therapy used for treatment of craniopharyngioma?,"Yes, proton beam therapy is used for treatment of craniopharyngioma.","Yes, proton beam therapy is used for treatment of craniopharyngioma.",1.0,1.0
Does thyroid hormone affect cardiac remodeling?,TH affects cardiac remodeling,YesR cardiac remodeling.,0.5,0.5714285714285715
What is caused by de novo VPS4A mutations?,De novo VPS4A mutations cause multisystem disease with abnormal neurodevelopment. VPS4A normal function is required for multiple human developmental and cellular processes.,De novo VPS4A mutations are aisystem chrom. a expressiondegalPS4A mutationsizes is mediated for the sclerosis diseases disorders neuro processes.,0.37151909989293497,0.3414634146341463
The formation of which inflammatory molecule is regulated by MAP3K8 (TPL2)?,MAP3K8 (Tpl2) regulates the formation of inflammatory molecule IL-1β,MAP3K8 (TPL2) is the formation of inflammatory molecules.-1..,0.6363636363636364,0.7368421052631577
Tumor-treating fields are effective for treatment of which cancers?,"Clinical trials have shown that Tumor-treating fields are effective for treatment of non-small cell lung cancer and glioblastoma. Ongoing and future trials will evaluate TTFields in solid tumor brain metastases, and ovarian, pancreatic cancers and multidrug resistance cancer cells.","Tinical trials of demonstrated that tumorumor-treating fields are effective for treatment of various-small cell lung cancer. breastioblastoma.oing studies ongoing studies will evaluate theumss in the tumors cells tumorsases. and the cancer breastic,, breasticerug-...",0.48449766388225934,0.4935064935064935
What is the name of the Cas13 based diagnostic test for the Zika and dengue viruses?,The Cas13-based platform that can detect Zika and dengue viruses is called SHERLOCK (specific high-sensitivity enzymatic reporter unlocking).,Cas Cas13 basedbased diagnostic for is be Zika and dengue viruses is used theIP..Sally-throughensitivity testymatic test)),0.2853688273502142,0.3157894736842105
Which drugs are utilized to treat amiodarone-induced thyroitoxicosis?,"Amiodarone-induced thyrotoxicosis treatment includes anti-thyroid drugs and steroid therapy
Radio Iodine Treatment (RIT) may be a safe and useful method of AIT therapy in patients with low RAIU, in whom other treatment methods are contraindicated.
Lithium is a useful and safe medication for treatment of iodine-induced thyrotoxicosis caused by amiodarone.
Thyrodectomy may be necessary in presence of unresponsiveness to standard medical treatments","Amiodarone-induced thyroitoxicosis is is the-inflammatoryroidism such anti drugs.Tform-ar (
RAIT) be used promising and effective treatment for treatmentID treatment. patients with am-.. but which the drugs options are usedraindicated.Rysium- a novel treatment effective treatment for the of am-induced thyroitoxicosis. by amiodarone-Ryroidar is be a for patients of aapprovedibly to the chemotherapy care.",0.3385797390823636,0.2926829268292683
Which myosin isozymes are located within the pericuticular necklace of the hair cell?,"The hair cell is located in the inner ear, a tissue that is particularly reliant on actin-rich structures and unconventional myosin isozymes. Within the pericuticular necklace, a domain of the hair cell, certain unconventional myosin isozymes are located, namely myosins-Ibeta, myosin-VI, and myosin-VIIa.","My my cell is a in the per per, and recess of contains the sensitive on thein-like my such is proteinsosin isozymes. the pericuticular necklace of the number of my hair cell is the my myosin isozymes are located. such,osin,containingos, myosin-I, my myosin-VI..",0.5283018867924528,0.39999999999999997
Which disorders are caused by de novo mutations in ZSWIM6?,"Mutations in the ZSWIM6 gene, which encodes the cellular iron exporter ZEB6, are the cause of de novo autosomal recessive acromelic frontonasal dysostosis and Leber's hereditary optic neuropathy and/or dystonia.","Zutations in Z ZSWIM6 gene cause which areodes the gene nucleus-orter,SW6, are associated most of multiple novo mutationsomal recessive disordersyloleoma disordersotopathy ( syndromeplosis ( neurouk's syndrome le neurpathy. neuroor mystonia.",0.3888888888888889,0.3174603174603175
What is herd immunity?,"Vaccines are very effective in providing individual and community (herd) immunity against a range of diseases.
We argue that individuals who have access to vaccines and for whom vaccination is not medically contraindicated have a moral obligation to contribute to the realisation of herd immunity by being vaccinated.", herdivination are immune sensitive in protecting herd immunity group immunityindividuald immunity immunity. disease variety of pathogens.V show that herd with have herd to herd are other the vaccines is a necessary necessaryraindicated are a higher advantage to protect to the survival- of their immunity. the able against,0.4031194535416505,0.3333333333333333
What is predicted using SURFY?,"surfaceome predictor SURFY, based on machine learning.","Sur- sequencing (FY ( a on the learning,",0.3,0.2857142857142857
List clinical symptoms of the MECOM-associated syndrome,"Heterozygous mutations in MECOM (MDS1 and EVI1 complex locus) have been reported to be causative of a rare association of congenital amegakaryocytic thrombocytopenia and radioulnar synostosis. The clinical picture included radioulnar synostosis, bone marrow failure, clinodactyly, cardiac and renal malformations, B-cell deficiency, and presenile hearing loss. No single clinical manifestation was detected in all patients affected by MECOM mutations. Radioulnar synostosis and B-cell deficiency were observed only in patients with mutations affecting a short region in the C-terminal zinc finger domain of EVI1.","Memozygous for in theECOM-MEC)) M11))us) cause been reported in cause associatedative of M number form with Mital heartylesisar hypt leukemiarombocytopenia ( congenociosisapseosis. most symptoms of aoplnarosisostosis, radi marrow failure, andostermylysis and arr renal failureformations, andRCcell carcin, and cardiacynital mal loss., mutation diagnosis of reported. the patients. by MECOM-.iotherapyarosisostosis is radi-cell deficiency were also in in the with M in the single- of the M-terminus loc finger (. theI1.",0.33819639055488676,0.28025477707006363
List Kartagener Syndrome Triad.,"The triad of situs inversus, bronchiectasis and sinusitis is known as Kartagener syndrome.","K Kartad of Kartag, theus k kch,in, kus in is a as theagener syndrome.",0.3157894736842105,0.28571428571428575
What is dystopia canthorum?,Dystopia canthorum is defined as a prominent broad nasal root with increased intercanthal distance.,"D dystopstopia canthorum is a as a novel, spectrum passage with a nasalstitialalic from",0.3333333333333333,0.35714285714285715
What condition is usually represented by the acronym SUDEP?,The acronym SUDEP refers to  Sudden Unexpected Death in Epilepsy,S acronym SUDEP is to a theudden Endnexpected End Syndrome theiderpsy (,0.25,0.28571428571428564
The NoSAS Score can be used for screening of which disorders?,"The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","No NoSAS Score can be used for screening of variousive pulmonary apnea, ( and apwakeordered Ambhing Disorder Sleepive sleep apnea.relatedotnea..",0.5,0.5714285714285713
What is Bexsero?,"Bexsero is a 4-component vaccine against capsular Meningococcus serogroup B (4CMenB), which has recently been licensed in Europe, Canada and Australia.","Bexsero is a novel-drug, for theid melanethylococcus aaens..M-))) which is been been approved by the for the, the.",0.3461538461538461,0.23809523809523808
Is Niraparib effective for ovarian cancer?,Yes. Niraparib is an oral poly(ADP ribose) polymerase (PARP) inhibitor that is approved by the United States Food and Drug Administration and the European Medicines Agency for the maintenance treatment of women with recurrent ovarian cancer who are in complete or partial response to platinum-based chemotherapy.,"Yes, Niraparib is effective oral,pe1P)os) monase inhibitorPP rib inhibitor that is approved for the US States Food and Drug Administration for approved European Medicines Agency for the treatment of of ovarian with ovarian ovarian cancer. have undergoing advanced remission metast remission to the-based chemotherapy.",0.5659344013616554,0.5684210526315789
List the core SNARE complex proteins.,"VAMP2
Syntaxin
SNAP25","Thees,,Vnt

SARE2
",0.0,0.0
Which is the transcriptome of RNA polymerase III?,"RNA polymerase III (Pol III) transcribes a limited set of short genes in eukaryotes producing abundant small RNAs, mostly tRNA. The originally defined yeast Pol III transcriptome appears to be expanding owing to the application of new methods. Newly identified Pol III transcripts include small nucleolar RNAs, microRNAs, short interspersed nuclear element-encoded or tRNA-derived RNAs and novel classes of ncRNA that can display significant sequence complementarity to protein-coding genes and might thus regulate their expression.","RNA polymerase III (R)) isribes the single number of RNA-, theukaryotes. a RNA-As. which inRNA- RNA expressed RNA RNA III (ome is to be a rapidly to the presence of a methods to developed RNA III genes are the RNotide RNAs, smallRNAs, and RNleersed RN RN RNbindingoding RNA longRNA-enc transcriptsAs, long RNA of RNAucRN- are be a changes similarityarity. the-bindingoding RNA. are be be the expression.",0.3248980306090187,0.217687074829932
Which cells express CIDEC protein in humans?,"The cell death-inducing DNA fragmentation factor alpha-like effector c (CIDEC) is a lipid droplet-associated protein that promotes intracellular triglyceride (TAG) storage. CIDEC is highly expressed in adipocytes, but undetectable in normal liver. However, its hepatic expression rises during fasting or under genetic or diet-induced hepatosteatosis in patients.","C C- rateassociated C methyl ( C (C ( ( (IDCIDEC) is a highly-plet thatlike protein that is cellacellular DNAides-C) and andIDEC is a expressed in theose and and itectable in the cells cells, it expressionatic activity is with the and in fasting stress epigen stressinduced stressocyteaticen. the with",0.2856676287587571,0.20202020202020202
Is vocimagene amiretrorepvec effective for glioblastoma?,No. Treatment with vocimagene amiretrorepvec did not improve survival of glioblastoma patients.,"Yes, voc with vocimagene amiretrorepvec is not improve survival of glioblastoma patients.",0.7142857142857143,0.75
Does tremelimumab improve survival of mesothelioma patients?,No. Tremelimumab did not significantly prolong overall survival compared with placebo in patients with previously treated malignant mesothelioma.,Yes. Tremelimumab does not improve improve survival survival of with placebo in mes with mes treated mesignant mesothelioma.,0.55,0.5
What is the association between Generalized anxiety disorder and mortality risk?,"Numerous studies have demonstrated that Generalized anxiety disorder is associated with increased mortality risk in different populations, including veterans and non demented elderly individuals. Anxiety disorders predict greater mortality, particularly when present with other psychiatric disorders. However, one study has found that generalized anxiety disorder was not associated with excess mortality in depressive elderly people.","Generalumerous studies have shown that generalized anxiety disorder is associated with increased mortality risk. adults populations. including those, non-ed individuals.. disorder are mortality mortality risk and in compared in a types disorders,, the study did not that the anxiety disorder is associated associated with higher mortality risk elderly patients individuals.",0.572422087257572,0.49056603773584906
Sclerostin regulates what process?,Sclerostin plays a critical role in bone homeostasis and its deficiency or pharmacological neutralization increases bone formation,Sclerostin regulates a critical role in the marrowostasis. is regulation is degradationological effectsization. the home and,0.3333333333333333,0.3636363636363636
Is physical performance influenced by thyroid hormone metabolism?,Yes.,"Yes, Physical",0.3333333333333333,0.6666666666666666
Which kinase does PD98059 inhibit?,"PD98059 is a specific, reversible MEK inhibitor.","PD98059 is a kin kin non,K1.",0.5555555555555556,0.42857142857142855
Are Gram positive bacteria able to release extracellular vesicles?,"Yes, Gram-negative and Gram-positive bacteria release a variety of membrane vesicles through different formation routes.","Yes, Gram positivepositive bacteria Gram-positive bacteria can ext large of ext-esicles. the mechanisms pathways.",0.35294117647058826,0.3636363636363636
Which are the types of viral meningitis?,"Aseptic meningitis is the most common type of meningitis and is characterized by meningeal inflammation that is not linked to identifiable bacterial pathogens in cerebrospinal fluid (CSF). It can be originated from infection from:
1) Varicella-zoster virus (VZV)
2) Herpes simplex types I and II (HSV-1, HSV-2)
3) Epstein-Barr virus (EBV) 
4) Cytomegalovirus (CMV) 
5) Enteroviruses (EV) 
6) Parechoviruses (HPeV) 
7) Human rhinoviruses (HRVs) 
8) Echovirus types 6, 9, 11
9) West Nile Virus (WNV)","V varietyptic meningitis is a most common viral of viralingitis. is associated by aingitis,, is caused caused to the viral or. thebrospinal fluid.CSF). is be caused from the with the viral)) viralicella,associatedosteritis (VZ)) or2) Apes-x virus ( ( II (VV)I) HV-2,3) Her-Barr virus (EBV)
4)tosgovirus (EBV)
5)ococirususesHs
6)neumtoocociruses VV)) 
7) herpesinopliruses HV) 
8)ukocir  (, 9, 10,9) African virus (WNV) ",0.503111288234901,0.3945578231292517
What is MACE in the context of cardiotoxicity?,MACE is an acronym for Major Adverse Cardiovascular Events.,MACE is a anti for M Cardhesion Cardiot Events (,0.4,0.4444444444444444
Which enzyme is inhibited by Varespladib?,Varespladib is a secretory phospholipase A2 (sPLA2) inhibitor. It was tested in patients with acute coronary syndrome.,Varespladib is a moned inhibitororyipid inhibitor inhibitor inhibitorPP2) inhibitor that is approved in the with multiple my artery (,0.38049176980028565,0.34285714285714286
What is the prognostic role of thyroid hormone in patients with heart failure?,"Altered thyroid profile, particularly sick euthyroid syndrome, is an independent predictor of mortality in patients with chronic heart failure, adding prognostic information to conventional clinical and functional cardiac parameters.","Ttered thyroid hormone is increased in patientsanroidism, is associated important and of heart in heart with heart heart failure. and tonostic value to the heart trials clinical outcomes prog.",0.36346246292862905,0.3103448275862069
Does splicing occur co-transcriptionally?,"The consensus view, based on four organisms, is that the majority of splicing events take place co-transcriptionally in most cells and tissues. RNA processing events that take place on the transcribed pre-mRNA include capping, splicing, editing, 3' processing, and polyadenylation. Most of these processes occur co-transcriptionally while the RNA polymerase II (Pol II) enzyme is engaged in transcriptional elongation.","Yes spl is is that on the independent, is that spl spl of splicing occurs occur place in-transcriptionally. the spl. that. spl is occur occur place in the sameribed spl-transRNA are splud, splicing, and, and- spl, and splmerylation. spl the spl occur in-transcriptionally in the majority splase ( (PM) is ( involved in aal activityation.",0.4077511235726602,0.28813559322033894
What is the relationship between thyroid hormone and inflammatory markers in heart failure patients?,There is an inverse correlation between inflammatory markers (IL-6 and TNF alfa and PCR) and FT3 levels in patients with heart failure,T is evidence association relationship between thyroid markers inis1) IL--fa) T) in thyroid-. in heart with heart failure.,0.32,0.380952380952381
What is the use of Atogepant?,Atogepant is used for preventive treatment of migraine.,Atogepant is a for the treatment of cancer.,0.6666666666666666,0.625
List the proteins defining the triple negative breast cancer.,"The so called ""Triple Negative Breast Cancer"" (TNBC) represents approximately 15-20% of breast cancers. This acronym simply means that the tumour does not express oestrogen receptor (ER) and progesterone receptor (PR) and does not exhibit amplification of the human epidermal growth factor receptor 2 (HER2) gene.","Tri three- tripletriple negative Breast Cancer"" isTBC) is a one%20% of breast cancer. is is stands "" the Tour is not have thelfrogen, (OR or isenone ( (NR proteins is not express a of the HER HERidermal growth factor ( ( (HF). or.",0.3892907040117347,0.2988505747126437
What is the drug target(s) for Belsomra?,Belsomra is a dual orexin receptor antagonist for both the Ox1 and Ox2 receptors,Belsomra is a mon-phthaligen- antagonist that the human humanid and Ox2 receptor.,0.5698222022414253,0.5185185185185186
Which protein mediates the replacement of H2A by H2A.Z in the yeast Saccharomyces cerevisiae?,"Saccharomyces cerevisiae Swr1, a Swi2/Snf2-related ATPase, is the catalytic core of a multisubunit chromatin remodeling enzyme, called the SWR1 complex, that efficiently replaces conventional histone H2A in nucleosomes with histone H2A.Z. We identified a complex containing 13 different polypeptides associated with a soluble pool of H2A.Z in Saccharomyces cerevisiae.","Hcharomyces cerevisiae (ab1 ( a memberr1-Zr1/binding proteinase, is a mosttic enzyme of the complexiceystemunit Hatin-eling protein that H H HR1-. which medi cataly H Hone H2A. theosomes. theone H2A.Z. show a conserv of H H Hmersptides, with the single H of H2A.Z, thecharomyces cerevisiae.",0.38155307162767677,0.31683168316831684
Can nrf2 activation lead to resistance to radiotherapy?,"Resistance to chemoradiotherapy is a major obstacle to successful treatment of glioblastoma. Recently, the role of NF-E2-related factor 2 (Nrf2) in enhancing chemoradiation sensitivity has been reported in several types of cancers. Blocking Nrf2 activation may be a promising method enhancing chemoradiation sensitivity of glioblastoma cells.","Yesistance to radilationinotherapy is a common problem to the radi of cancerioblastoma., we n of n-κ2 inmediated n n (NFrf2) in the themoradiadi has has been investigated. a studies of cancer,ocking ofrf2 activation is be a key strategy for themoradiiation sensitivity in patientsioblastoma patients.",0.40376952836875063,0.3191489361702128
List diseases associated with the  Dopamine Receptor D4 (DRD4).,The 5-repeat allele of a common length polymorphism in the gene that encodes the dopamine D4 receptor (DRD4) is robustly associated with the risk of attention deficit hyperactivity disorder (ADHD).,"D D-HT D of D D D-ism, D D D isodes the D receptor4 ( (DRD4) is associated and expressed with the development of multiple deficit hyperactivity disorder (ADHD).",0.4857142857142857,0.39344262295081966
